ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
114,0.000,0.000,0.000,0.000,{method 'get' of 'mappingproxy' objects}
26,0.000,0.000,0.000,0.000,{method 'items' of 'mappingproxy' objects}
5,0.000,0.000,0.000,0.000,{method 'setter' of 'property' objects}
878,0.000,0.000,0.000,0.000,{method 'find' of 'bytearray' objects}
38,0.000,0.000,0.000,0.000,{method 'translate' of 'bytearray' objects}
6,0.000,0.000,0.000,0.000,{method 'encode' of 'str' objects}
799,0.000,0.000,0.000,0.000,{method 'replace' of 'str' objects}
1432,0.000,0.000,0.000,0.000,{method 'split' of 'str' objects}
6,0.000,0.000,0.000,0.000,{method 'rsplit' of 'str' objects}
1504/1500,0.000,0.000,0.001,0.000,{method 'join' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'title' of 'str' objects}
2,0.000,0.000,0.000,0.000,{method 'expandtabs' of 'str' objects}
190,0.000,0.000,0.000,0.000,{method 'partition' of 'str' objects}
2568,0.000,0.000,0.000,0.000,{method 'lower' of 'str' objects}
12,0.000,0.000,0.000,0.000,{method 'lstrip' of 'str' objects}
1338,0.000,0.000,0.000,0.000,{method 'rfind' of 'str' objects}
1826,0.000,0.000,0.000,0.000,{method 'rstrip' of 'str' objects}
365,0.000,0.000,0.000,0.000,{method 'rpartition' of 'str' objects}
140,0.001,0.000,0.001,0.000,{method 'splitlines' of 'str' objects}
628,0.000,0.000,0.000,0.000,{method 'strip' of 'str' objects}
4,0.000,0.000,0.000,0.000,{method 'translate' of 'str' objects}
5500,0.001,0.000,0.001,0.000,{method 'startswith' of 'str' objects}
710,0.000,0.000,0.000,0.000,{method 'endswith' of 'str' objects}
1510,0.000,0.000,0.000,0.000,{method 'isupper' of 'str' objects}
24,0.000,0.000,0.000,0.000,{method 'isdigit' of 'str' objects}
67,0.000,0.000,0.000,0.000,{method 'isidentifier' of 'str' objects}
28,0.000,0.000,0.000,0.000,{method 'zfill' of 'str' objects}
404,0.000,0.000,0.000,0.000,{method 'format' of 'str' objects}
14,0.000,0.000,0.000,0.000,{method '__contains__' of 'frozenset' objects}
89,0.000,0.000,0.000,0.000,{method 'add' of 'set' objects}
6,0.000,0.000,0.000,0.000,{method 'tolist' of 'memoryview' objects}
6,0.000,0.000,0.000,0.000,{method 'cast' of 'memoryview' objects}
129,0.000,0.000,0.000,0.000,{built-in method from_bytes}
217,0.000,0.000,0.000,0.000,{method 'copy' of 'list' objects}
16647,0.001,0.000,0.001,0.000,{method 'append' of 'list' objects}
167500,0.016,0.000,0.016,0.000,{method 'insert' of 'list' objects}
853,0.000,0.000,0.000,0.000,{method 'extend' of 'list' objects}
434,0.000,0.000,0.000,0.000,{method 'pop' of 'list' objects}
71,0.000,0.000,0.000,0.000,{method 'remove' of 'list' objects}
359,0.000,0.000,0.000,0.000,{method 'reverse' of 'list' objects}
975,0.002,0.000,0.015,0.000,{method 'sort' of 'list' objects}
142,0.000,0.000,0.000,0.000,{method 'decode' of 'bytes' objects}
1,0.000,0.000,0.000,0.000,{method 'startswith' of 'bytes' objects}
471,0.000,0.000,0.000,0.000,{method '__reduce_ex__' of 'object' objects}
10,0.000,0.000,0.000,0.000,{method 'mro' of 'type' objects}
4586,0.000,0.000,0.000,0.000,{method 'get' of 'dict' objects}
709,0.000,0.000,0.000,0.000,{method 'setdefault' of 'dict' objects}
65,0.000,0.000,0.000,0.000,{method 'pop' of 'dict' objects}
2,0.000,0.000,0.000,0.000,{method 'popitem' of 'dict' objects}
71,0.000,0.000,0.000,0.000,{method 'keys' of 'dict' objects}
255,0.000,0.000,0.000,0.000,{method 'items' of 'dict' objects}
29,0.000,0.000,0.000,0.000,{method 'values' of 'dict' objects}
508,0.000,0.000,0.000,0.000,{method 'update' of 'dict' objects}
188,0.000,0.000,0.000,0.000,{built-in method fromkeys}
2,0.000,0.000,0.000,0.000,{method 'clear' of 'dict' objects}
216/213,0.002,0.000,0.017,0.000,{built-in method builtins.__build_class__}
29/17,0.000,0.000,0.038,0.002,{built-in method builtins.__import__}
3045,0.000,0.000,0.000,0.000,{built-in method builtins.abs}
65767,0.012,0.000,0.045,0.000,{built-in method builtins.all}
1323,0.000,0.000,0.000,0.000,{built-in method builtins.any}
270,0.000,0.000,0.000,0.000,{built-in method builtins.chr}
5,0.000,0.000,0.000,0.000,{built-in method builtins.delattr}
2,0.000,0.000,0.000,0.000,{built-in method builtins.dir}
48/2,0.000,0.000,0.088,0.044,{built-in method builtins.exec}
1957,0.000,0.000,0.000,0.000,{built-in method builtins.getattr}
11,0.000,0.000,0.000,0.000,{built-in method builtins.globals}
2139/2130,0.001,0.000,0.001,0.000,{built-in method builtins.hasattr}
2,0.000,0.000,0.000,0.000,{built-in method builtins.hash}
509,0.000,0.000,0.000,0.000,{built-in method builtins.id}
17226,0.002,0.000,0.002,0.000,{built-in method builtins.isinstance}
47784,0.004,0.000,0.004,0.000,{built-in method builtins.issubclass}
61258,0.006,0.000,0.006,0.000,{built-in method builtins.iter}
1018836/1018069,0.062,0.000,0.062,0.000,{built-in method builtins.len}
1,0.000,0.000,0.000,0.000,{built-in method builtins.locals}
277,0.000,0.000,0.000,0.000,{built-in method builtins.max}
3519,0.001,0.000,0.006,0.000,{built-in method builtins.min}
816,0.000,0.000,0.007,0.000,{built-in method builtins.next}
1590,0.000,0.000,0.000,0.000,{built-in method builtins.ord}
50942,0.019,0.000,0.019,0.000,{built-in method builtins.pow}
29,0.001,0.000,0.001,0.000,{built-in method builtins.print}
29,0.000,0.000,0.000,0.000,{built-in method builtins.repr}
415,0.000,0.000,0.000,0.000,{built-in method builtins.setattr}
168546,0.050,0.000,0.559,0.000,{built-in method builtins.sorted}
25875,0.011,0.000,0.011,0.000,{built-in method builtins.sum}
4,0.000,0.000,0.000,0.000,{built-in method builtins.vars}
20,0.000,0.000,0.000,0.000,{method 'read' of '_io.TextIOWrapper' objects}
163,0.001,0.000,0.001,0.000,{method 'read' of '_io.BufferedReader' objects}
2,0.000,0.000,0.000,0.000,{method 'readline' of '_io.BufferedReader' objects}
1,0.000,0.000,0.000,0.000,{method 'seek' of '_io.BufferedReader' objects}
959,0.002,0.000,0.002,0.000,{built-in method posix.stat}
189,0.002,0.000,0.002,0.000,{built-in method posix.listdir}
